src/main/java/kr/or/ddit/calculator/Calculator.java:10:	System.out.print 가 사용됨.
src/main/java/kr/or/ddit/encrypt/kisa/seed/KISA_SEED_CBC.java:510:	Variables should start with a lowercase character, 'G' starts with uppercase character.
src/main/java/kr/or/ddit/encrypt/kisa/seed/KISA_SEED_CBC.java:511:	Variables should start with a lowercase character, 'H' starts with uppercase character.
src/main/java/kr/or/ddit/encrypt/kisa/seed/KISA_SEED_CBC.java:513:	Variables should start with a lowercase character, 'K' starts with uppercase character.
src/main/java/kr/or/ddit/encrypt/kisa/seed/KISA_SEED_CBC.java:515:	Variables should start with a lowercase character, 'T0' starts with uppercase character.
src/main/java/kr/or/ddit/encrypt/kisa/seed/KISA_SEED_CBC.java:515:	Variables should start with a lowercase character, 'T1' starts with uppercase character.
src/main/java/kr/or/ddit/encrypt/kisa/seed/KISA_SEED_CBC.java:668:	Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'KEY_SIZE' is not final.
src/main/java/kr/or/ddit/encrypt/kisa/seed/KISA_SEED_CBC.java:668:	Variables should start with a lowercase character, 'KEY_SIZE' starts with uppercase character.
src/main/java/kr/or/ddit/encrypt/kisa/seed/KISA_SEED_CBC.java:669:	Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'TEXT_SIZE' is not final.
src/main/java/kr/or/ddit/encrypt/kisa/seed/KISA_SEED_CBC.java:669:	Variables should start with a lowercase character, 'TEXT_SIZE' starts with uppercase character.
src/main/java/kr/or/ddit/encrypt/kisa/seed/KISA_SEED_CBC.java:786:	System.out.print 가 사용됨.
src/main/java/kr/or/ddit/encrypt/kisa/seed/KISA_SEED_CBC.java:788:	System.out.print 가 사용됨.
src/main/java/kr/or/ddit/encrypt/kisa/seed/KISA_SEED_CBC.java:790:	System.out.print 가 사용됨.
src/main/java/kr/or/ddit/encrypt/kisa/seed/KISA_SEED_CTR.java:13:	Variables should start with a lowercase character, 'ENDIAN' starts with uppercase character.
src/main/java/kr/or/ddit/encrypt/kisa/seed/KISA_SEED_CTR.java:183:	Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'K_offset' is not final.
src/main/java/kr/or/ddit/encrypt/kisa/seed/KISA_SEED_CTR.java:183:	Variables should start with a lowercase character, 'ABCD' starts with uppercase character.
src/main/java/kr/or/ddit/encrypt/kisa/seed/KISA_SEED_CTR.java:183:	Variables should start with a lowercase character, 'K' starts with uppercase character.
src/main/java/kr/or/ddit/encrypt/kisa/seed/KISA_SEED_CTR.java:183:	Variables should start with a lowercase character, 'KC' starts with uppercase character.
src/main/java/kr/or/ddit/encrypt/kisa/seed/KISA_SEED_CTR.java:183:	Variables should start with a lowercase character, 'K_offset' starts with uppercase character.
src/main/java/kr/or/ddit/encrypt/kisa/seed/KISA_SEED_CTR.java:183:	Variables should start with a lowercase character, 'T' starts with uppercase character.
src/main/java/kr/or/ddit/encrypt/kisa/seed/KISA_SEED_CTR.java:193:	Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'K_offset' is not final.
src/main/java/kr/or/ddit/encrypt/kisa/seed/KISA_SEED_CTR.java:193:	Variables should start with a lowercase character, 'ABCD' starts with uppercase character.
src/main/java/kr/or/ddit/encrypt/kisa/seed/KISA_SEED_CTR.java:193:	Variables should start with a lowercase character, 'K' starts with uppercase character.
src/main/java/kr/or/ddit/encrypt/kisa/seed/KISA_SEED_CTR.java:193:	Variables should start with a lowercase character, 'KC' starts with uppercase character.
